"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayer Leverkusen";34;28;6;0;89;24;90;82.01;32.43;76.17
2;"VfB Stuttgart";34;23;4;7;78;39;73;78.99;42.5;69.5
3;"Bayern Munich";34;23;3;8;94;45;72;94.4;35.22;76.98
4;"RasenBallsport Leipzig";34;19;8;7;77;39;65;72.63;43.25;64.21
5;"Borussia Dortmund";34;18;9;7;68;43;63;71.16;55.27;56.88
6;"Eintracht Frankfurt";34;11;14;9;51;50;47;51.64;55.25;46.05
7;"Hoffenheim";34;13;7;14;66;66;46;56.25;66.42;42.57
8;"FC Heidenheim";34;10;12;12;50;55;42;42.58;66.09;33.24
9;"Werder Bremen";34;11;9;14;48;54;42;47.1;61.1;38.44
10;"Freiburg";34;11;9;14;45;58;42;52.5;58.56;44.26
11;"Augsburg";34;10;9;15;50;60;39;49.12;62.3;39.04
12;"Wolfsburg";34;10;7;17;41;56;37;44;49.87;42.79
13;"Mainz 05";34;7;14;13;39;51;35;51.68;50.51;49.18
14;"Borussia M.Gladbach";34;7;13;14;56;67;34;51.81;62.5;41.37
15;"Union Berlin";34;9;6;19;33;58;33;44.74;56.56;39.5
16;"Bochum";34;7;12;15;42;74;33;51.44;70.18;39.05
17;"FC Cologne";34;5;12;17;28;60;27;44.34;71.81;32.62
18;"Darmstadt";34;3;8;23;30;86;17;34.56;81.12;24.64
